,Neighborhood,Chiropractor,Dentist,Doctor's Office,Family Medicine Doctor,General Surgeon,Health and Medicine,Home Health Care Service,Hospital,Internal Medicine Doctor,Medical Center,Medical Lab,Nursing Home,Nutritionist,Ophthalmologist,Optometrist,Pediatrician,Physical Therapy Clinic,Psychiatrist,Urgent Care Center,Veterinarian
240,Chelsea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Dutch Kills,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Hunters Point,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Brooklyn Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Brooklyn Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Bedford,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Broadway Junction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Brooklyn Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Meiers Corners,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Pleasant Plains,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Egbertville,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Gravesend,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Fresh Pond Junction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Princes Bay,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Egbertville,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Harbor Terrace,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Beechhurst,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Broadway Junction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Gravesend,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Van Nest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Pelham Parkway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Kings Bridge Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,East Flatbush,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Chelsea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Hammels,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
